,voter,created,ipfs,vp,choice
166,0x096b4d5776D44CAE05880e0703C9958b08B11F39,1633990580,QmcXf5TwpWMzqQpGP3zijzZdxoWHQpiU3WbbMBmuYLzQLH,50000.0,2.0
167,0x096b4d5776D44CAE05880e0703C9958b08B11F39,1633990545,QmPAEuH2W2kYZ2KnuWDXMtKyXsBHrAP8YD7UamkU4m8nP4,50000.0,1.0
168,0x096b4d5776D44CAE05880e0703C9958b08B11F39,1633990469,QmTnKCXkxsoWrfWDFfWtgoU1DZ5dTr4zGB4hwa29RaUjXm,50000.0,1.0
169,0xA95cCef9561842495E7538d0dD97cE1ABF0a5242,1633990439,QmSQThC9tv2dRaUD7j5w7ooqq1t97wN5XXRJ8NcsuHJ33o,50000.0,2.0
170,0xA95cCef9561842495E7538d0dD97cE1ABF0a5242,1633990397,QmSfHXbBWcnUkpvmoLSAHabWES5BEz6jAwK38XtL8tKCuu,50000.0,2.0
171,0xA95cCef9561842495E7538d0dD97cE1ABF0a5242,1633990313,QmNmYwH5Lf1vGZYoK2cJzbn7LWzWuSVEwdJ6JDvmVVCsH8,50000.0,1.0
172,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633987164,Qmdzt1jxA2GfWjWob3NE4cEwx43YtE6EuezLvWMydLybhw,5997.87,1.0
173,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633987090,QmepyqZBB4udgSmhNDatsGZiXfckdedwX3PigD9pjFJKwU,5997.87,1.0
174,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633986651,QmZFQ1KnVdagTxtdPrdWM74VzHgjc2HRxWisYFRvveqq9M,5997.87,2.0
175,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633986343,QmSEvjd1pdaeYxN5P1ToURx5jTwxFBu65A6uzZ4spbTnYg,5997.87,1.0
176,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633986267,QmbF4rsMpNfTgL3VAT1pMgRVPjyQh6NSSu71vHrEcBoBwf,5997.87,1.0
177,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633986170,QmZ22FPXfoL2E7voqCScAhbeoM3MgDTFio2CMknTMBDgze,5997.87,1.0
178,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633985778,QmUnQhtKpcQ2ZxFPAZnwg1t5tJkzTa11TeLoydMGCqxDjJ,5997.87,1.0
179,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633985600,QmdxP1dan2cyFUHBaGc2efM1n3HPhGVvHTHhVNoE1Ybme8,5997.87,1.0
180,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633985519,QmakUaw9F5pNKeyDcQbw8Hhjfrqdam6tNzdK83opWhT4mY,5997.87,1.0
181,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633985457,QmdMVkj3xepx5XtsKP6Gz1Vvyeod91ppQbRuvBfyr4dHhv,5997.87,1.0
182,0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,1633985210,QmXwRPyXkDnnwsUj9APTRU9bCx15PgKh8DFqjm4HLCPESi,5997.87,2.0
183,0x423325991513d405cdD0bc2D0634722843D29728,1633984691,QmeSKamdtoEes2Li342VtPR1x3RY9keVKFKBgYL8JgVW9Q,1500000.0,2.0
184,0x423325991513d405cdD0bc2D0634722843D29728,1633984003,Qmeb5pahbLjqbQPXmq4bWqZMkHK4A7AqfuRqCqJMTT2Ma3,1500000.0,1.0
185,0x423325991513d405cdD0bc2D0634722843D29728,1633983612,QmUQ1e55NPcHgnpTKZKDuuDbB1wuzwcvE2nrVNxrHtwy4v,1500000.0,1.0
186,0x423325991513d405cdD0bc2D0634722843D29728,1633983491,QmZa1WhcSSrQv3Rng1GzYPdkChrjCpBSj8FeYDQxnURyje,1500000.0,1.0
187,0xbdD5d655ad781FB9929BFe515EB4A50090444C21,1633983446,QmNcFuUU5zHUCJCj4nCPYhVPJU4wSwnCxvQb6WrQNQHfyY,1063215.6188616776,2.0
188,0x9DA423a15a87E145d9dAEF73F30A710cB4106BD2,1633983391,QmNWruMTncxZJmowN1nSuJjHJksg2sTmQyTaQwA7i6DheW,5000.0,1.0
189,0x423325991513d405cdD0bc2D0634722843D29728,1633983204,QmP8MnHLbDydC1U8zms6JdApgmHyUCYYWKhTbX6TTcdb8p,1500000.0,2.0
