,address,balance,timestamp,dateUtc,Vote,Round,Project Name,Proposal State,Proposal Standing,Grant Category,Earmarks,OCEAN Granted
43,0x24D768d1fFadea536f293354553d360c7E16a8E0,60063.990396300986,1608141318,"Wed, 16 Dec 2020 17:55:18 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
42,0xc42193d87DD67c3639ED1cEF53c409c37775F7C4,15000.024704031388,1608138684,"Wed, 16 Dec 2020 17:11:24 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
4,0xcC7E9b8331bea863a158589E8EBCF118C72d0683,7084.813123103328,1608037427,"Tue, 15 Dec 2020 13:03:47 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
59,0xFE53E594f981e234FCc5e33d3C37943C81766485,83.66205484410322,1608346032,"Sat, 19 Dec 2020 02:47:12 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
39,0x7Dc445E2B251e82bd45A4401e72Cf60b6B4a13aB,3999.05121585417,1608108352,"Wed, 16 Dec 2020 08:45:52 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
5,0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,536.3817845473446,1608037575,"Tue, 15 Dec 2020 13:06:15 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
60,0x5F071f2CE06084811be5B2EF2e9D2773f53d32CB,7209.12155135,1608388933,"Sat, 19 Dec 2020 14:42:13 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
69,0x206120ebC24119b650B58df6Fc8559C8418A9e83,488.17650323101225,1608558525,"Mon, 21 Dec 2020 13:48:45 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
8,0xcBdD51CF4e679542de0AC059Ae7399d798870F5F,29999.97808381,1608040268,"Tue, 15 Dec 2020 13:51:08 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
34,0xE2D0d856Ecfaf305BAee76ddAf76444AD3b8684c,3743.288215579004,1608065027,"Tue, 15 Dec 2020 20:43:47 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
64,0x5cFDBd9150596b790AAe28e003EFfac9f29081F9,5000.0,1608487366,"Sun, 20 Dec 2020 18:02:46 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
32,0xF26dAAEc5d04BEa5cADB01f93D060b668b96a00b,6938.963696628569,1608056314,"Tue, 15 Dec 2020 18:18:34 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
49,0xE0093f7A481f1545d4A656726735E544Eb98eD93,400000.000000004,1608196908,"Thu, 17 Dec 2020 09:21:48 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
61,0x91d7Ff5660435a218BfB2DBEe4C1Ec865892b2E2,106.27672921554294,1608426127,"Sun, 20 Dec 2020 01:02:07 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
11,0x12843126A739EE01dbDa27102c66ae20689506B9,114.86593440899348,1608041275,"Tue, 15 Dec 2020 14:07:55 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
51,0xba70544Ca4feD37A78Caa653e1cdD3A97d71605C,20511.23190919157,1608219807,"Thu, 17 Dec 2020 15:43:27 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
68,0x0B4a3351096b93672EFe48058A2De00E520F50f9,1471.052364685097,1608555865,"Mon, 21 Dec 2020 13:04:25 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
62,0xCd3f010432c427D043AF133b5AE9ee22B1ECEd9B,1000.8345539767416,1608428823,"Sun, 20 Dec 2020 01:47:03 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
15,0x5De4EA2F4fDe1823ea0432FbeB7E8E7a69f8987C,5340.749815216586,1608045379,"Tue, 15 Dec 2020 15:16:19 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
23,0x3c104180D537550d2cC2fe6de12d1A6c6B29A036,2003408.2266651588,1608049855,"Tue, 15 Dec 2020 16:30:55 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
22,0x06Fbe5d776905ea91899b273e4b663ADF58597eB,10022.7463466783,1608049809,"Tue, 15 Dec 2020 16:30:09 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
67,0xF3E6e119972D9FBC06D34919a5EeCE4Ab5E47975,100.0,1608555503,"Mon, 21 Dec 2020 12:58:23 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
63,0xd647b65fF1e4b25E3d2Dc86553A42c2675072A1a,16500.0,1608462412,"Sun, 20 Dec 2020 11:06:52 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
66,0xaaC3438D37Da2FA2cE9A91c43834757314A2211b,1042.494548548696,1608500356,"Sun, 20 Dec 2020 21:39:16 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
33,0xB804cb279F84292df5e8D78a6B2Ff315aD3E8B3c,5043.692973201607,1608064750,"Tue, 15 Dec 2020 20:39:10 GMT",Yes,1,Ocean Academy,Funded,Unreported,Outreach,General,13000.0
56,0x27B3035ab7F71d711dE25f114768F5F64B61857B,44349.8,1608245036,"Thu, 17 Dec 2020 22:43:56 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
27,0xf84a022c73F3547932bdb3Cf4a356315fDc76748,11780.0,1608052682,"Tue, 15 Dec 2020 17:18:02 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
30,0xf773829a6cFF2a51B8fC4E0D146faE34182bf119,20000.0,1608055506,"Tue, 15 Dec 2020 18:05:06 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
55,0x09E72574c5ab7891f9478d210ee0E6fc5e7FE486,20000.0,1608244918,"Thu, 17 Dec 2020 22:41:58 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
31,0x5281aD053cC8906d08E9520318A76db767CEeB4b,20000.0,1608055739,"Tue, 15 Dec 2020 18:08:59 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
54,0xC767B8d677bEB0A91bB511f20D533cA7Dd524494,5000.0,1608244788,"Thu, 17 Dec 2020 22:39:48 GMT",Yes,1,Ocean Pool Alerts,Funded,Unreported,Build & Integrate,General,13000.0
65,0x12BD31628075C20919BA838b89F414241b8c4869,23804.9,1608487712,"Sun, 20 Dec 2020 18:08:32 GMT",Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0
75,0xB3D31eCf4C702Dc516c7a7e67F385560eE04A9C3,15018.908030564367,1608588324,"Mon, 21 Dec 2020 22:05:24 GMT",Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0
29,0x01b8744f70cE3386aac11365516B231A78004198,20388.850595227424,1608054302,"Tue, 15 Dec 2020 17:45:02 GMT",Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0
53,0xf29cA9E016BD479603c3470284Eb7f6090344a8C,70000.0,1608238586,"Thu, 17 Dec 2020 20:56:26 GMT",Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0
16,0x07796f0FECABF25A8516d99b0669375246b10C2c,3117.594152443874,1608047877,"Tue, 15 Dec 2020 15:57:57 GMT",Yes,1,Ocean Surfer,Funded,Unreported,Build & Integrate,General,13000.0
44,0x3D57251EF3c56992e76dEb521e21614F67e2cde9,153.18237088835667,1608142288,"Wed, 16 Dec 2020 18:11:28 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
58,0x359a76dB7aFDAd46f0e2C6699eC768c1064C86Ca,1939.7798205247436,1608316133,"Fri, 18 Dec 2020 18:28:53 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
74,0x2D3fb3096F020029A49A45c88253A4CD0BC2503F,1532.2302672129622,1608584952,"Mon, 21 Dec 2020 21:09:12 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
73,0x9b315a6B563687357FaF7493700C3EA406f5d55c,139.24916958078435,1608584842,"Mon, 21 Dec 2020 21:07:22 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
1,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,5271.992998568287,1608035989,"Tue, 15 Dec 2020 12:39:49 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
2,0x362CfE20851584DF00a670b2c8460A3aafD35839,3268.11491548,1608036130,"Tue, 15 Dec 2020 12:42:10 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
70,0xF0e5094e51CDD81eBD68dD3F19AA580E2396A94D,10792.952676750068,1608576104,"Mon, 21 Dec 2020 18:41:44 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
14,0x2102fbdb989Ad103DFd0D110E639A8abe0e148fF,0.5267964261569978,1608042348,"Tue, 15 Dec 2020 14:25:48 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
7,0x3DA6cb84752975352711ACAb5613B4E23e04fbfc,24510.21392,1608039344,"Tue, 15 Dec 2020 13:35:44 GMT",Yes,1,Operation Plankton,Not Granted,,Outreach,General,0.0
50,0x4D4290CBA904aBb4dFbc1568766bCD88e67Be391,5078.0,1608203959,"Thu, 17 Dec 2020 11:19:19 GMT",Yes,1,Resilient ML,Not Granted,,Build & Integrate,General,0.0
40,0xB40156F51103EbaA842590cE51DD2cD0a9E83cDa,12861.269001146664,1608132378,"Wed, 16 Dec 2020 15:26:18 GMT",Yes,1,Resilient ML,Not Granted,,Build & Integrate,General,0.0
18,0x15b5359fd05A37ba6546AaCabe92D9354aD18D07,2230.0,1608048260,"Tue, 15 Dec 2020 16:04:20 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
19,0x655eFe6Eb2021b8CEfE22794d90293aeC37bb325,6435.0,1608048301,"Tue, 15 Dec 2020 16:05:01 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
20,0xF40b005FFE2Db0197b8c301e1C966C2cb3B59A08,5000.0,1608048328,"Tue, 15 Dec 2020 16:05:28 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
25,0xb1234459671Bc3C844b7887574748be5bFf8b55F,2491.4624879024286,1608050331,"Tue, 15 Dec 2020 16:38:51 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
17,0xCe7BE31f48205C48A91A84E777a66252Bba87F0b,6238.163055456334,1608048210,"Tue, 15 Dec 2020 16:03:30 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
0,0x9e95B6c35a43A61B06F19d21FBe008f17B1f5e44,300.0118093941776,1608035489,"Tue, 15 Dec 2020 12:31:29 GMT",Yes,1,Wisdom Of the Web,Not Granted,,Build & Integrate,General,0.0
13,0x798FfE6427072A92eaEbb575eb2ed843e60B3762,1853.217767666136,1612282922,"Tue, 02 Feb 2021 16:22:02 GMT",Yes,2,Buidl Ocean,Not Granted,,Outreach,General,0.0
10,0xc42193d87DD67c3639ED1cEF53c409c37775F7C4,14885.664131870386,1612280112,"Tue, 02 Feb 2021 15:35:12 GMT",Yes,2,Buidl Ocean,Not Granted,,Outreach,General,0.0
44,0x27B3035ab7F71d711dE25f114768F5F64B61857B,44349.8,1612346875,"Wed, 03 Feb 2021 10:07:55 GMT",Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0
63,0xa5a8c36e3f9C922BCfa56Cd05B5a4Ac6F8313827,68272.81537847506,1612467313,"Thu, 04 Feb 2021 19:35:13 GMT",Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0
42,0x1d4df77B21a54A30735E18512613CfB87D83A8Ce,200.0,1612343248,"Wed, 03 Feb 2021 09:07:28 GMT",Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0
43,0x1491e29aDc7a1aa6F8a7e6da5aC0D77BcD7D859E,26000.0,1612345039,"Wed, 03 Feb 2021 09:37:19 GMT",Yes,2,Clean Docs,Funded,Completed,Core Software,General,10000.0
61,0xF25281C5B5620cA0E9ab6a1442cb6e9B333CCb06,10000.0,1612453069,"Thu, 04 Feb 2021 15:37:49 GMT",Yes,2,Data DAO,Not Granted,,Build & Integrate,General,0.0
41,0xd69485360F89e824935097Dd594a2b72CD4aDDD8,5000.0,1612337867,"Wed, 03 Feb 2021 07:37:47 GMT",Yes,2,Data DAO,Not Granted,,Build & Integrate,General,0.0
69,0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,7410.1708439172335,1612473213,"Thu, 04 Feb 2021 21:13:33 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
68,0xA41960A39265e936d73F76581475F5517f8F259D,379.1073515148679,1612473181,"Thu, 04 Feb 2021 21:13:01 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
59,0x31852784d2066618d35d2bB2a021b334a9d7F002,5236.429729901217,1612389619,"Wed, 03 Feb 2021 22:00:19 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
54,0xc211CCc4c718877Cda19690715BB81d98694f8A0,1514.05600178107,1612373925,"Wed, 03 Feb 2021 17:38:45 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
14,0x45E48C0a6Fe8b759652624451C83387130C58367,8387.700396276672,1612284373,"Tue, 02 Feb 2021 16:46:13 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
56,0xD896038c67EC4273aF33059f4b980a01587fd7BC,344.31235801647466,1612374254,"Wed, 03 Feb 2021 17:44:14 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
39,0x105DfEd176B4c5Ba488Ee5F4362638Ab0216b8c4,52800.1374540403,1612321379,"Wed, 03 Feb 2021 03:02:59 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
21,0x0225DD447C812cdEb436352eb44f3ad03B2a4288,22811.92132,1612288440,"Tue, 02 Feb 2021 17:54:00 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
72,0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,500.0,1612473930,"Thu, 04 Feb 2021 21:25:30 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
20,0x5D2B315C465e133a346C960F46f5AA1ED88a3179,24340.70838294408,1612288010,"Tue, 02 Feb 2021 17:46:50 GMT",Yes,2,Data Whale,Funded,Completed,Build & Integrate,General,10000.0
52,0x61B15998893cC746B46C08FEdEE13a0d1b33bBa9,2543.352734221005,1612369382,"Wed, 03 Feb 2021 16:23:02 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
31,0x2D3fb3096F020029A49A45c88253A4CD0BC2503F,1667.6110115953572,1612301266,"Tue, 02 Feb 2021 21:27:46 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
80,0x01e66950353400E93AEe7F041C0303103E2ef5Ab,15000.732,1612482432,"Thu, 04 Feb 2021 23:47:12 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
11,0xE2D0d856Ecfaf305BAee76ddAf76444AD3b8684c,3743.288215579004,1612280907,"Tue, 02 Feb 2021 15:48:27 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
9,0xEC852D93806A0E5c93e506C804717530aC26bB8d,40752.78034,1612278222,"Tue, 02 Feb 2021 15:03:42 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
5,0x807e4419f9E09Db3c8C22A6dfFB753ae4B1F992E,5117.00001334,1612277364,"Tue, 02 Feb 2021 14:49:24 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
74,0xB3D31eCf4C702Dc516c7a7e67F385560eE04A9C3,15018.908030564367,1612475914,"Thu, 04 Feb 2021 21:58:34 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
75,0xF15f1d005a0Dd034b5760fA8e2f71be45289e0bA,5093.039576622567,1612477099,"Thu, 04 Feb 2021 22:18:19 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
76,0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,1343.2316976666973,1612477397,"Thu, 04 Feb 2021 22:23:17 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
58,0xF0e5094e51CDD81eBD68dD3F19AA580E2396A94D,10359.352914667108,1612382734,"Wed, 03 Feb 2021 20:05:34 GMT",Yes,2,German AI/ML,Funded,Completed,Outreach,General,10000.0
38,0xcfdaE6FF195A99Ee0dEd376eaD5056BB679Ebec7,4584.700502795099,1612316993,"Wed, 03 Feb 2021 01:49:53 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
64,0xF68813feF24Ae1CE7000f0f1771Cd3042d5702be,1000.0,1612470957,"Thu, 04 Feb 2021 20:35:57 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
67,0x0bF2f30fD564E9ca0fb013ab343AE68c98eb008B,284.44541562854704,1612472742,"Thu, 04 Feb 2021 21:05:42 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
48,0x4fD45C660fcfD8deE204ebead23Ab7f17Cc43C6E,20001.255514660126,1612352599,"Wed, 03 Feb 2021 11:43:19 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
79,0x91700503f39012f032a765d182FbEe4397Ac5def,439.0854058538499,1612482037,"Thu, 04 Feb 2021 23:40:37 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
78,0x88Df446346EB051B8D19A47951141177f57d4329,639.0,1612481021,"Thu, 04 Feb 2021 23:23:41 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
35,0x20718BCD0E16d2cAfF38F87B157Fd1B0d92Cc488,5650.004711977122,1612303304,"Tue, 02 Feb 2021 22:01:44 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
40,0x792035C909733246e49D419BE308A38b3f8b3E8E,10077.8472,1612322655,"Wed, 03 Feb 2021 03:24:15 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
30,0x37A6156e4a6E8B60b2415AF040546cF5e91699bd,2000.0,1612299551,"Tue, 02 Feb 2021 20:59:11 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
7,0xB40156F51103EbaA842590cE51DD2cD0a9E83cDa,5000.105719922575,1612277736,"Tue, 02 Feb 2021 14:55:36 GMT",Yes,2,Governor DAO,Funded,Unreported,Unleash Data,General,10000.0
25,0x655eFe6Eb2021b8CEfE22794d90293aeC37bb325,14154.823107221942,1612290336,"Tue, 02 Feb 2021 18:25:36 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
15,0x02796aDc9e9eBc30893c13A78D5691467B866bfB,2674.318912418897,1612284453,"Tue, 02 Feb 2021 16:47:33 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
66,0xcC7E9b8331bea863a158589E8EBCF118C72d0683,2050.3137420894905,1612472514,"Thu, 04 Feb 2021 21:01:54 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
12,0xB9D10940Dae76C3e50d422C754009eEDa22b4eA0,1247.1454543226057,1612282661,"Tue, 02 Feb 2021 16:17:41 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
2,0xCe7BE31f48205C48A91A84E777a66252Bba87F0b,16016.997354125702,1612276039,"Tue, 02 Feb 2021 14:27:19 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
24,0x15b5359fd05A37ba6546AaCabe92D9354aD18D07,1700.0,1612290301,"Tue, 02 Feb 2021 18:25:01 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
6,0xfc1719d6eDC4318820d02C725b4F6e530D11Bebb,10177.493,1612277668,"Tue, 02 Feb 2021 14:54:28 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
47,0x87E4B99cE07073594AdDA44338705BA1Ab674cbD,148.00963432673367,1612349286,"Wed, 03 Feb 2021 10:48:06 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
70,0xFc1a540517fB09d967B5fb22c63F975B1e729D4C,44414.4,1612473322,"Thu, 04 Feb 2021 21:15:22 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
71,0xcA3b7E1312Ad020C058eF4942e3f33fFe6fD7b5c,11876.9,1612473442,"Thu, 04 Feb 2021 21:17:22 GMT",Yes,2,Liquidity Pool Handling,Funded,Funds Returned,Build & Integrate,General,10000.0
27,0xF8dac7973f0F444E19bf671915187A0A92f18313,8000.0,1612292772,"Tue, 02 Feb 2021 19:06:12 GMT",Yes,2,Moon Jelly,Not Granted,,Build & Integrate,General,0.0
34,0xd647b65fF1e4b25E3d2Dc86553A42c2675072A1a,16500.0,1612302666,"Tue, 02 Feb 2021 21:51:06 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
0,0xB1bF4E002F13924a139C032d851DC0562D219ED1,6800.0,1612274665,"Tue, 02 Feb 2021 14:04:25 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
60,0x12BD31628075C20919BA838b89F414241b8c4869,23804.9,1612431679,"Thu, 04 Feb 2021 09:41:19 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
4,0x1Daf0b27e0F54a235abb5D52D276033394Eb8F49,567.6879494588621,1612276699,"Tue, 02 Feb 2021 14:38:19 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
3,0xf3a7ACf685c737B632Ffe4265BB9094C25cF8Ac4,536.3817845473446,1612276677,"Tue, 02 Feb 2021 14:37:57 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
32,0x34335050Aa618DA5F5187E7644f0b86a015E55d3,36965.25773613341,1612302362,"Tue, 02 Feb 2021 21:46:02 GMT",Yes,2,Ocean Academy,Funded,Unreported,Outreach,General,10000.0
