address,choice,balance,timestamp,dateUtc,authorIpfsHash
0x1Fa4823613Fb2424cbDab225FC1eEfe3Bd293c84,14,23037.5,1612307088,"Tue, 02 Feb 2021 23:04:48 GMT",QmRCVoSv3u4G9mdqdLWN5VYSzFRBcwEVA93ZPkMBaiRWAN
0xcfdaE6FF195A99Ee0dEd376eaD5056BB679Ebec7,1,4584.700502795099,1612316993,"Wed, 03 Feb 2021 01:49:53 GMT",QmaGMSWHKaYS79xs1tD9pkPaVP9Us17TGRSkxrCsNikUHh
0x105DfEd176B4c5Ba488Ee5F4362638Ab0216b8c4,16,52800.1374540403,1612321379,"Wed, 03 Feb 2021 03:02:59 GMT",QmQv8uK9Yvtiq3jo7Q2x92RAowKHfLWb8LNNkhd14TsJg6
0x792035C909733246e49D419BE308A38b3f8b3E8E,1,10077.8472,1612322655,"Wed, 03 Feb 2021 03:24:15 GMT",QmStjG2LhY2U9oxmyrSUcTGDgmTkY7iow9iqS1dUchpkNa
0xd69485360F89e824935097Dd594a2b72CD4aDDD8,7,5000,1612337867,"Wed, 03 Feb 2021 07:37:47 GMT",QmYSnCfJ83Wj7jmDLXQG5g6VdR8KWchaaP6qw7BRATLi6Q
0x1d4df77B21a54A30735E18512613CfB87D83A8Ce,13,200,1612343248,"Wed, 03 Feb 2021 09:07:28 GMT",QmScLn1AhRtFt4Hb5o3NR3qfQmFJnhxrUCbJCZSZyTXanM
0x1491e29aDc7a1aa6F8a7e6da5aC0D77BcD7D859E,13,26000,1612345039,"Wed, 03 Feb 2021 09:37:19 GMT",QmVnrCVLnqKNKiX6rD46cHVkikUGWjS22AZyEYikJt7Zkx
0x27B3035ab7F71d711dE25f114768F5F64B61857B,13,44349.8,1612346875,"Wed, 03 Feb 2021 10:07:55 GMT",QmaTrqhSubsQiUXjiyQk14sDiYceFjWJpZY3X34nDfyzx3
0x81af0c37d201a73788a2bcc6f6eeCD038FFb633d,14,63.19298904529172,1612347085,"Wed, 03 Feb 2021 10:11:25 GMT",QmafwCFEzZQ1Dqfw1FSEdH18chAQiQffe8m9A2m3g2WM38
0x4D4290CBA904aBb4dFbc1568766bCD88e67Be391,3,11078,1612348854,"Wed, 03 Feb 2021 10:40:54 GMT",QmbX8BBQ6BF6r9i9FqdHTn8vxpzib5jHg8tvsE8uZDv3QE
0x87E4B99cE07073594AdDA44338705BA1Ab674cbD,9,148.00963432673367,1612349286,"Wed, 03 Feb 2021 10:48:06 GMT",QmWjgsJZeXhSwswPv2RGUwVurmrfPnX4cSiSBeuUTB19S9
0x4fD45C660fcfD8deE204ebead23Ab7f17Cc43C6E,1,20001.255514660126,1612352599,"Wed, 03 Feb 2021 11:43:19 GMT",QmbrYCa8ZNJtpinwmSYmmKRgNhkRKxEm8ik3JhAVbBkH52
0x60020f103fE5AFE856A84D0C6A785e3f121E98C3,14,522.2631135017409,1612358538,"Wed, 03 Feb 2021 13:22:18 GMT",QmPJeud1moVRkEdZQ5GP118KuB9D81Nq7HQJN9XmYYMbBK
0xcBdD51CF4e679542de0AC059Ae7399d798870F5F,12,29999.97808381,1612361145,"Wed, 03 Feb 2021 14:05:45 GMT",QmcRWDMwfgQVeYhEdKPyW15z7iRtnRtLoZvsX5Sye7PWRM
0xB121b3DdaA9af45Df9878C855079F8A78eea9772,15,25934.1,1612362681,"Wed, 03 Feb 2021 14:31:21 GMT",QmXRgzNd3AYMHs5mVnsxmagg5UPp1tyayGoJ6RcFWYa9bf
0x61B15998893cC746B46C08FEdEE13a0d1b33bBa9,4,2543.352734221005,1612369382,"Wed, 03 Feb 2021 16:23:02 GMT",QmbC3YPVbC42mEpnCfrfTzoc1vqjmsXqDLLUPPauwaWkq8
0x65f4424CEa0593c53Fe4E34d55455238BD058a6c,2,2099.06,1612372999,"Wed, 03 Feb 2021 17:23:19 GMT",QmP4NnqtFDz6ZNtJj366GpTmLfgyiPwK5p3vkQ7G1CLVrp
0xc211CCc4c718877Cda19690715BB81d98694f8A0,16,1514.05600178107,1612373925,"Wed, 03 Feb 2021 17:38:45 GMT",QmZ4Vw571HFfsSxP3gDK9VH827m7bWgpq5pDUDm14UkCDo
0x519E21a4BF3eB67d811b04B4d8d44dEaBA5F5e0a,14,88979.12097367266,1612374075,"Wed, 03 Feb 2021 17:41:15 GMT",QmU9iUm7K8T762d9LgbMnGZHiuuYsTEzpyRuj9VY7VMnyK
0xD896038c67EC4273aF33059f4b980a01587fd7BC,16,344.31235801647466,1612374254,"Wed, 03 Feb 2021 17:44:14 GMT",QmUuwx6rjj2S7xjmbrCGrFtQGfY2AeZeTi98ZrDPanTaBo
0x2A1458F2C22d011547A0E4Ba47491D51Cdf7cc49,14,5911.823165208858,1612376536,"Wed, 03 Feb 2021 18:22:16 GMT",QmbpcEdWMDhpbsc9UoRgCqBTLNrEQGVNYHrXXPriHSHmFo
0xF0e5094e51CDD81eBD68dD3F19AA580E2396A94D,4,10359.352914667108,1612382734,"Wed, 03 Feb 2021 20:05:34 GMT",QmeqZVrVuLtftmmcfaiXgfUtR2xT4Tzpo4TG5tAokZ4CMZ
0x31852784d2066618d35d2bB2a021b334a9d7F002,16,5236.429729901217,1612389619,"Wed, 03 Feb 2021 22:00:19 GMT",QmQRQKKkmtYDUmJY8nSzjMoLUoXm3LudDVeeGBquSoN8GF
0x12BD31628075C20919BA838b89F414241b8c4869,12,23804.9,1612431679,"Thu, 04 Feb 2021 09:41:19 GMT",QmdPS7XF3GSQ7aj4mBbcc4pLkyQ6CNCDc8TFBPWtmZzmCd
0xF25281C5B5620cA0E9ab6a1442cb6e9B333CCb06,7,10000,1612453069,"Thu, 04 Feb 2021 15:37:49 GMT",QmTGXUk7UntoAKTxhjFd592szKxYRSP95mM1apjTdhN6ud
0xA37De111022BE90A5ba966906c6C610f787bA3d6,11,125708.72772,1612463312,"Thu, 04 Feb 2021 18:28:32 GMT",QmeCVnYw9tLbjgAa2q4oeAX5Wmsn7iETBeeZDG6FJgzYdX
0xa5a8c36e3f9C922BCfa56Cd05B5a4Ac6F8313827,13,68272.81537847506,1612467313,"Thu, 04 Feb 2021 19:35:13 GMT",QmSoot2XxUiRBjv2Lr68BE4eubJPz3ayLhBRV3kHApy2ms
0xF68813feF24Ae1CE7000f0f1771Cd3042d5702be,1,1000,1612470957,"Thu, 04 Feb 2021 20:35:57 GMT",QmQb6QmVGRgWadAbikQfDkGRnL4jAaM42HAuPXSk8zZTwX
0xb0f9E24fC04b7fD4B17D0FB7b1427C6CBda24b1C,14,10000.647888781026,1612472373,"Thu, 04 Feb 2021 20:59:33 GMT",QmeF27CshSJcXmvbA9ogiNS8YB1Dg68DeGCpsLVZAUop8D
0xcC7E9b8331bea863a158589E8EBCF118C72d0683,9,2050.3137420894905,1612472514,"Thu, 04 Feb 2021 21:01:54 GMT",QmQcCkTcWN8WoMLiRjqekcbgPcu5aKzJj6i1sJyZ18CV4S
0x0bF2f30fD564E9ca0fb013ab343AE68c98eb008B,1,284.44541562854704,1612472742,"Thu, 04 Feb 2021 21:05:42 GMT",QmVC29iGbKGEp26qCT6YSqsNE8xrCPxNnuSHDA2DVyNEYm
0xA41960A39265e936d73F76581475F5517f8F259D,16,379.1073515148679,1612473181,"Thu, 04 Feb 2021 21:13:01 GMT",QmajYV36SpCsc3dgQQ8h8wT3ctCZmtnAHniGFktgb1J7aQ
0x1911176664F147DCb30DA4a4AA6ef6c6849e613f,16,7410.1708439172335,1612473213,"Thu, 04 Feb 2021 21:13:33 GMT",QmaNCvS4q96WkJ2MbDxeJZLBHxDqawyQ5GWCCBrDvZjv7F
0xFc1a540517fB09d967B5fb22c63F975B1e729D4C,9,44414.4,1612473322,"Thu, 04 Feb 2021 21:15:22 GMT",QmaFztpCaKzWNwr71mSpMXXWnTPBQrvizJoPVdutFsGLHD
0xcA3b7E1312Ad020C058eF4942e3f33fFe6fD7b5c,9,11876.9,1612473442,"Thu, 04 Feb 2021 21:17:22 GMT",QmWmX4mSGDa58LxMmdUtAxoR3gs6qmaN8bQgyj9euMUxVe
0xa60556e3bF6424488072Fb09A20Ecb23dd6D609E,16,500,1612473930,"Thu, 04 Feb 2021 21:25:30 GMT",QmWeMZdhdvGsJrPUzwG74koiNH2MGmH1BPsmnd2LJgfMob
0x5e22b34F2708EA7e25918B8FCF816F9CfF27a331,11,8062.683748622426,1612475296,"Thu, 04 Feb 2021 21:48:16 GMT",Qma8EfgLrEBHcFsvQYsVL8fEc2VPZqfuq3zRGBQeQm8GpW
0xB3D31eCf4C702Dc516c7a7e67F385560eE04A9C3,4,15018.908030564367,1612475914,"Thu, 04 Feb 2021 21:58:34 GMT",QmZHEyqnRqUBczJfMRmEtpPJvJaeH8BJKu7kQ4EiP8tsgA
0xF15f1d005a0Dd034b5760fA8e2f71be45289e0bA,4,5093.039576622567,1612477099,"Thu, 04 Feb 2021 22:18:19 GMT",QmdaeF9Arr1FwtEcd4EgBngzEkKnzdBMwJ8WoUMNHVYg9x
0xCeaAD86848Dc118337b97eD7a0Fdba36Da6f03D4,4,1343.2316976666973,1612477397,"Thu, 04 Feb 2021 22:23:17 GMT",Qmbdm76z43vzyyx9CJX7s8mjiCCjhNiDN63Ejm1s41BLap
0xcA3Be6575f123f4d0DC371Aa6660D7977E98f010,14,1925.1233803977195,1612478574,"Thu, 04 Feb 2021 22:42:54 GMT",QmaFUVCJH6MU5yhfoEQQidVgEcJ8L6hnU71oJwM14s5sg3
0x88Df446346EB051B8D19A47951141177f57d4329,1,639,1612481021,"Thu, 04 Feb 2021 23:23:41 GMT",QmVE1A5kbDLWbTHjChzToswedVy5WzuqdRzV2acF67rqYM
0x91700503f39012f032a765d182FbEe4397Ac5def,1,439.0854058538499,1612482037,"Thu, 04 Feb 2021 23:40:37 GMT",QmY2MzLV7hioqW6RUUu1ezkdvyQFxBmufX4wH8jC7Yps8d
0x01e66950353400E93AEe7F041C0303103E2ef5Ab,4,15000.732,1612482432,"Thu, 04 Feb 2021 23:47:12 GMT",QmbWW2xfAT7NECNMf8USyviXrfYmwp6JEH7naAVQAT5n5p
